Column1,file,sentence_id,text,proper_nouns,length,eTranslation
443123,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg1.1,"Spoštovani , prosim , da zasedete svoja mesta .",[],9,"Dear, please take your seats."
443124,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg2.1,"V naši sredini pozdravljam predsednika države , gospoda Boruta Pahorja in predsednika Državnega zbora , gospoda Janka Vebra .","[{8: ['Boruta', 'Borut'], 9: ['Pahorja', 'Pahor'], 16: ['Janka', 'Janko'], 17: ['Vebra', 'Veber']}]",19,"In our midst, I welcome the President of the country, Mr Borut Pahor and the President of the National Assembly, Mr Janko Veber."
443125,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg2.2,Lepo pozdravljena .,[],3,"Hello, hello."
443126,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg3.1,"Besedo dajem spoštovanemu predsedniku Državnega zbora , gospodu Janku Vebru .","[{8: ['Janku', 'Janko'], 9: ['Vebru', 'Veber']}]",11,"I give the word to the honourable President of the National Assembly, Mr Janko Vebru."
443127,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg3.2,"Izvolite , prosim .",[],4,"Please, please."
443128,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg4.1,"Hvala za besedo , predsedujoča .",[],6,"Thank you for the floor, Chair-in-Office."
443129,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg4.2,"Spoštovani predsednik Republike Slovenije , gospod Borut Pahor , spoštovani poslanke in poslanci , gospe in gospodje !","[{6: ['Borut', 'Borut'], 7: ['Pahor', 'Pahor']}]",18,"Dear President of the Republic of Slovenia, Mr Borut Pahor, honourable Members, ladies and gentlemen!"
443130,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg5.1,"Dovolite mi , da vas nagovorim ob izteku VI. mandata Državnega zbora .",[],13,Allow me to address you at the end of VI. the term of office of the National Assembly.
443131,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg5.2,"Mandat se izteka prej , kot določa Ustava , kar govori o tem , da smo delovali v zelo zahtevnih razmerah , ki so jih v veliki meri narekovale tako gospodarske in finančne razmere , ki pa so nastale v svetu , ne v Sloveniji , to moramo poudariti , seveda pa smo sestavni del tega dogajanja bili tudi v Sloveniji .",[],62,"The term of office expires earlier than provided for in the Constitution, which speaks of the fact that we were operating in very difficult circumstances, which were largely dictated by economic and financial conditions, which were created in the world, not in Slovenia, we must emphasise this, but of course we were an integral part of this event in Slovenia."
443132,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg5.3,"In ukrepi , ki jih je bilo treba sprejemati v Državnem zboru , so bili zelo pomembni , da smo lahko obvladovali ravno to področje .",[],26,And the measures that had to be taken in the National Assembly were very important in order to be able to control precisely this area.
443134,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg6.2,"Dosegli smo soglasje tako med opozicijo in koalicijo , zato da smo lahko spremenili v dveh bistvenih točkah tudi Ustavo Republike Slovenije in tudi na mednarodnem področju sprejeli pomembno odločitev , ko smo soglasno ratificirali vstop Republike Hrvaške v Evropsko unijo .",[],42,"We reached a consensus between the opposition and the coalition, so that we were able to amend the Constitution of the Republic of Slovenia on two essential points and also made an important decision in the international field, when we unanimously ratified the accession of the Republic of Croatia to the European Union."
443142,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg9.1,"Zahvaljujem se spoštovanemu gospodu Janku Vebru , predsedniku Državnega zbora , za izrečene besede .","[{4: ['Janku', 'Janko'], 5: ['Vebru', 'Veber']}]",15,"I would like to thank Mr Janko Veb, President of the National Assembly, for the words spoken."
443143,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg10.1,Hvala lepa .,[],3,Thank you very much.
443144,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg11.1,"Začenjam 1. sejo Državnega zbora , ki jo je na podlagi 81. člena Ustave Republike Slovenije sklical predsednik Republike Slovenije , gospod Borut Pahor , ki bo Državni zbor zdaj tudi nagovoril .","[{22: ['Borut', 'Borut'], 23: ['Pahor', 'Pahor']}]",33,"I am opening the 1st session of the National Assembly, which was convened on the basis of Article 81 of the Constitution of the Republic of Slovenia by the President of the Republic of Slovenia, Mr Borut Pahor, who will now address the National Assembly."
443145,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg12.1,"Prosim , spoštovani predsednik .",[],5,"Please, Honourable President."
443146,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg13.1,"Spoštovana gospa predsedujoča , spoštovane poslanke , spoštovani poslanci !",[],10,"Dear Madam President, Honourable Members!"
443147,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg14.1,"Sprejmite najprej , prosim , moje iskrene čestitke za vašo izvolitev .",[],12,"First of all, please accept my sincere congratulations on your election."
443148,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg14.2,"Po običaju bi zdaj moral najbrž dodati željo , da se skupaj potrudimo po svojih najboljših močeh .",[],18,"By custom, I should probably add a wish to do our best together."
443149,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg14.3,"Ampak , že dolgo časa ni več ta čas običajen , zato mi pride na misel Churchill .","[{16: ['Churchill', 'Churchill']}]",18,"But for a long time, this time is no longer normal, so Churchill comes to my mind."
443150,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg14.4,Trud po naših najboljših močeh ni več dovolj .,[],9,Doing our best is not enough.
443151,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg14.5,"Čas je , da naredimo pravo stvar .",[],8,It’s time to do the right thing.
443188,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg20.1,"Predsedniku republike , spoštovanemu gospodu Borutu Pahorju , se zahvaljujem za njegove besede in hvala gospod predsednik , da ste počastili Državni zbor s svojo prisotnostjo .","[{5: ['Borutu', 'Borut'], 6: ['Pahorju', 'Pahor']}]",27,"President of the Republic, Honourable Mr Borut Pahor, thank you for his words and thank you Mr President for honouring the National Assembly with your presence."
443189,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg20.2,Hvala lepa .,[],3,Thank you very much.
443190,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg21.1,"Obveščena sem , da se današnje seje ne more udeležiti poslanec gospod Luka Mesec .","[{12: ['Luka', 'Luka'], 13: ['Mesec', 'Mesec']}]",15,"I am informed that today’s meeting cannot be attended by the Member, Mr Luka Mesec."
443191,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg21.2,"Na sejo Državnega zbora sta vabljena predsednik Državne volilne komisije Anton Gašper Frantar in direktor Službe državne volilne komisije Dušan Vučko , in sicer k 2. točki dnevnega reda .","[{10: ['Anton', 'Anton'], 11: ['Gašper', 'Gašper'], 12: ['Frantar', 'Frantar'], 19: ['Dušan', 'Dušan'], 20: ['Vučko', 'Vučko']}]",30,The President of the National Electoral Commission Anton Gašper Frantar and the Director of the Service of the National Electoral Commission Dušan Vučko are invited to attend the meeting of the National Electoral Commission.
443192,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg21.3,Vse prisotne še enkrat lepo pozdravljam !,[],7,I would like to greet all of you again!
443193,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg22.1,"Pri vodenju seje Državnega zbora mi bosta pomagali generalna sekretarka državnega zbora , gospa Mojca Prelesnik , in namestnica generalne sekretarke , gospa Jerneja Bergoč .","[{14: ['Mojca', 'Mojca'], 15: ['Prelesnik', 'Prelesnik'], 23: ['Jerneja', 'Jerneja'], 24: ['Bergoč', 'Bergoč']}]",26,"I will be assisted by the Secretary-General of the National Assembly, Mrs Mojca Prelesnik, and the Deputy Secretary-General, Mrs Jerneja Bergoč."
443194,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg23.1,Prehajamo na določitev dnevnega reda prve seje Državnega zbora .,[],10,We move on to the setting of the agenda of the first session of the National Assembly.
443531,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg138.1,Zahvaljujem se spoštovanemu dr. Miru Cerarju za podano obrazložitev predloga kandidata za predsednika Državnega zbora .,"[{4: ['Miru', 'Mir'], 5: ['Cerarju', 'Cerar']}]",16,I would like to thank the respected Dr Miro Cerar for the explanation of the proposal of the candidate for President of the National Assembly.
443532,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg139.1,Besedo dajem predstavnikom poslanskih skupin za predstavitev stališč .,[],9,I give the floor to the representatives of the parliamentary groups to present their views.
443533,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg139.2,"Besedo ima Poslanska skupina DeSUS , gospod Karl Viktor Erjavec .","[{7: ['Karl', 'Karl'], 8: ['Viktor', 'Viktor'], 9: ['Erjavec', 'Erjavec']}]",11,"The DeSUS Group, Mr Karl Viktor Erjavec, has the floor."
443534,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg140.1,Hvala lepa .,[],3,Thank you pretty.
443535,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg141.1,Najprej bi se zahvalil predsedujoči gospe Marjani Kotnik Poropat za odlično vodenje te seje .,"[{6: ['Marjani', 'Marjana'], 7: ['Kotnik', 'Kotnik'], 8: ['Poropat', 'Poropat']}]",15,"First of all, I would like to thank the Chair, Mrs Marjani Kotnik Poropat, for the excellent conduct of this meeting."
443536,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg141.2,Čestitam .,[],2,Congratulations.
443537,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg141.3,Čestitam seveda tudi vsem poslankam in poslancem na izvolitev in na potrditev mandata .,[],14,I would also like to congratulate all Members on their election and confirmation of their mandate.
443538,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg142.1,V stranki DeSUS bomo kandidaturo dr. Milana Brgleza za predsednika Državnega zbora podprli .,"[{6: ['Milana', 'Milan'], 7: ['Brgleza', 'Brglez']}]",14,The DeSUS party will support Dr Milan Brglez’s candidacy for President of the National Assembly.
443539,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg142.2,"Podprli jo bomo zato , ker je nujno , da se Državni zbor čim prej konstituira in da čim prej pridemo tudi do vlade .",[],25,We will support it because it is necessary for the National Assembly to be constituted as soon as possible and to reach the government as soon as possible.
443540,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg142.3,"Vemo , kakšna je situacija v državi , in ključno za reševanje problemov , s katerimi se sooča Slovenija , je stabilna politična situacija .",[],25,"We know what the situation in the country is, and the key to solving the problems that Slovenia is facing is a stable political situation."
443592,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg158.1,Hvala lepa .,[],3,Thank you kindly.
443593,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg159.1,Besedo ima Poslanska skupina Nova Slovenija – krščanski demokrati .,[],10,The New Slovenia Group — Christian Democrats has the floor.
443594,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.ana.xml,ParlaMint-SI_2014-08-01-SDZ7-Redna-01.seg160.1,"Spoštovana gospa Ljudmila Novak , izvolite .","[{2: ['Ljudmila', 'Ljudmila'], 3: ['Novak', 'Novak']}]",7,"Dear Mrs. Ljudmila Novak, please."