,file_path,text,translation-bg,translation-sla,translation-zls
0,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Уважаеми народни представители, добър ден!","Dear MPs, good afternoon!","Ladies and gentlemen, good afternoon!","Dear People's Representatives, good afternoon!"
1,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Моля да се регистрираме.,Please register.,Please sign up.,Please sign up.
2,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Прекратете регистрацията.,Abort registration.,Stop the registration.,Abort registration.
3,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Следваща – 9,15 ч.",Next 9:15 p.m.,Next – 9.15 p.m.,Next — 9:15 p.m.
4,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Открито в 9,20 ч.",Discovered at 9:20 p.m.,Open at 9.20 a.m.,Found at 9:20 p.m.
5,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Режим на регистрация, моля.","Registration mode, please.","Registration mode, please.","Registration mode, please."
6,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Налице е кворум – откривам пленарното заседание.,I shall open the plenary session.,There's a quorum. I'm opening the plenary.,There's a quorum - I'm opening the plenary session.
7,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Уважаеми народни представители, постъпи искане от Президентската администрация за извънреден брой на „Държавен вестник“ в утрешния ден, в който ще бъде обнародван указът за разпускане на 43-ото народно събрание и насрочване на предсрочните парламентарни избори.","Honourable Members of Parliament, there was a request from the President's Administration for an extraordinary number of the Official Journal on the day of tomorrow, which will be published the decree for the dissolution of the 43rd National Assembly and the timing of the early parliamentary elections.","Dear People's Representatives, a request was made by the Presidential Administration for an extraordinary number of the State Gazette on tomorrow, on which an order for the 43rd People's Assembly to be dissolved and for the early parliamentary elections to be scheduled.","Dear People's Representatives, a request has been made by the Presidential Administration for an extraordinary number of State Journals on the morning of which the order to disband the 43rd National Assembly will be reproduced and the early parliamentary elections will be scheduled."
8,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"По тази причина Проектът на програма за работата на Народното събрание е за времето от 25 до 26 януари 2017 г., тъй като последното пленарно заседание за тази легислатура на парламента ще бъде в четвъртък, 26 януари.","For this reason, the draft programme for the work of the National Assembly is for the period from 25 to 26 January 2017, as the last plenary session for this parliamentary legislation will be on Thursday, 26 January.","For this reason, the draft programme for the work of the National Assembly is for the period from 25 to 26 January 2017, as the last plenary meeting for this parliamentary legislation will be held on Thursday, 26 January.","For this reason, the draft programme for the work of the National Assembly is for the period from 25 to 26 January 2017, as the last plenary session for this House legislation will be held on Thursday, 26 January."
9,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,1. Второ гласуване на Законопроекта за изменение и допълнение на Закона за изпълнение на наказанията и задържането под стража.,1. Second vote on the Bill amending and supplementing the Law on the Execution of Punishments and Detention.,1. Second vote of the Bill amending and supplementing the Law on the Enforcement of Penalties and Detention.,1. Second vote of the Law amending and supplementing the Law on the execution of penalties and detention under guard.
10,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Вносител: Министерският съвет.,Importer: Council of Ministers.,Importer: The Council of Ministers.,Importer: Council of Ministers.
11,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,2. Второ гласуване на Законопроекта за изменение и допълнение на Закона за устройство на територията.,2. Second vote on the Draft Law amending and supplementing the Law on Structure in the Area.,2. Second vote of the Draft Law amending and supplementing the Law on Device in the Territory.,2. Second vote of the Law amending and supplementing the Law on Devices in the territory.
12,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Вносител: Министерският съвет.,Importer: Council of Ministers.,Importer: The Council of Ministers.,Importer: Council of Ministers.
13,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,3. Второ гласуване на Законопроекта за изменение и допълнение на Закона за държавната собственост.,3. Second vote on the Draft Law amending and supplementing the State Property Act.,3. Second vote of the Draft Law amending and supplementing the Law on State Property.,3. Second vote of the Law amending and supplementing the Law on State Property.
14,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,4. Второ гласуване на Законопроекта за допълнение на Гражданския процесуален кодекс.,4. Second vote on the Bill for Supplement to the Civil Procedure Code.,4. Second vote of the draft law to supplement the Civil Procedure Code.,4. Second vote of the Civil Procedure Code Supplement Bill.
15,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Вносител: Министерският съвет.,Importer: Council of Ministers.,Importer: The Council of Ministers.,Importer: Council of Ministers.
16,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,5. Второ гласуване на Законопроекта за изменение и допълнение на Закона за собствеността и ползването на земеделските земи.,5. Second vote on the Law amending and supplementing the Law on Property and Use of Agricultural Land.,5. Second vote of the Bill amending and supplementing the Law on Ownership and Use of Agricultural Lands.,5. Second vote of the Law amending and supplementing the Law on the Property and Use of Agricultural Lands.
17,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Вносител: Иван Станков.,Importer: Ivan Stankov.,Importer: Ivan Stankov.,Importer Ivan Stankov.
18,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,6. Второ гласуване на Законопроекта за допълнение на Закона за регионалното развитие.,6. Second vote on the Law on Supplement to the Law on Regional Development.,6. Second vote of the Bill of Supplement to the Regional Development Act.,Six. Second vote of the Bill on the addition of the Regional Development Act.
19,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Вносител: Министерският съвет.,Importer: Council of Ministers.,Importer: The Council of Ministers.,Importer: Council of Ministers.
20,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,7. Второ гласуване на Законопроекта за изменение и допълнение на Закона за достъп и разкриване на документите и за обявяване на принадлежност на български граждани към Държавна сигурност и разузнавателните служби на Българската народна армия.,7. Second vote on the Draft Law amending and supplementing the Law on Access and Disclosure of Documents and declaring the belonging of Bulgarian citizens to State Security and the intelligence services of the Bulgarian People's Army.,Seven. Second vote of the Draft Law amending and supplementing the Act on Access and Disclosure of Documents and on the Declaration of Nationality of Bulgarian Citizens to the State Security and Intelligence Services of the Bulgarian People's Army.,Seven. Second vote of the Law amending and supplementing the Law on Access and Disclosure of Documents and declaring membership of Bulgarian citizens to the State Security and Intelligence Services of the Bulgarian People's Army.
21,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,8. Законопроект за ратифициране на Споразумението за обезщетяване между правителството на Република България и Консорциум IBERDROLA.,8. Draft Law on ratification of the Agreement on Compensation between the Government of the Republic of Bulgaria and the Consortium IBERDROLA.,8. Bill on ratification of the Compensation Agreement between the Government of the Republic of Bulgaria and the Consortium of IBERDROLA.,8. Bill on ratification of the compensation agreement between the Government of the Republic of Bulgaria and the consortium IBERDROLA.
22,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Вносител: Министерският съвет.,Importer: Council of Ministers.,Importer: The Council of Ministers.,Importer: Council of Ministers.
23,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Гласуваме.,We vote.,We're voting.,We vote.
24,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Гласували 155 народни представители: за 125, против 18, въздържали се 12.","Vote 155 MPs: 125, against 18, abstention 12.","155 nationals voted: 125 against 18, abstaining 12.","155 representatives voted: for 125, against 18, abstained 12."
25,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Програмата за днес и утре е приета.,The program for today and tomorrow has been accepted.,The program for today and tomorrow has been adopted.,The program for today and tomorrow is accepted.
26,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Предложения по реда на чл. 50, ал. 3 от Правилника.","Proposals under the order of art. 50, para. 3 of the Rules.","Proposals in the order of Art. 50, a.k.a. 3 of the Rules of Procedure.","Proposals under Art. 50, al. 3 of the Rules."
27,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Ще дойде времето и за господин Ерменков, но преди това – постъпило е предложение от Димитър Делчев и група народни представители за включване в Програмата за тази седмица на първо четене на Законопроекта за старите столици на България с вх. № 654 01-139, внесен на 9 декември 2016 г.","The time will come for Mr. Ermenkov, but before that... is a proposal from Dimitar Delchev and a group of MPs for inclusion in the Program for this week at the first reading of the Bill for the Old Capitals of Bulgaria with. No 654 01-139, submitted on 9 December 2016.","The time will come for Mr. Ermenkov, but before that – a proposal has been made by Dimitar Delchev and a group of national representatives for inclusion in the Programme for this week on the first reading of the Bill for the Old Capitals of Bulgaria. No 654 01-139, entered on 9 December 2016.","The time will come for Mr. Ermenkov, but before that – a proposal has been made by Dimitar Delchev and a group of folk representatives for inclusion in the Programme for this week at the first reading of the Law on the old capitals of Bulgaria with whh. No 654 01-139, tabled on 9 December 2016."
28,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,"Предложението е недопустимо, тъй като не са изтекли сроковете по нашия Правилник.",The proposal is inadmissible because the time limits under our Rules have not expired.,The proposal is inadmissible as the deadlines for our Rules of Procedure have not expired.,The proposal is inadmissible as the deadlines under our Rules have not expired.
29,/home/tajak/Parlamint-translation/Source-data/ParlaMint-BG.conllu/ParlaMint-BG.conllu/2017/ParlaMint-BG_2017-01-25.conllu,Срокът е двумесечен за обсъждане на законопроектите на първо гласуване.,The deadline is two months to discuss the bills of first vote.,The deadline is two months to discuss bills in the first vote.,The deadline is two months for discussion of first-vote bills.
