,file_path,text,translation-da,translation-gmq,translation-gem
0,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Mødet er åbnet.,The meeting is open.,The meeting is open.,The meeting is open.
1,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Erhvervsministeren (Brian Mikkelsen) har meddelt mig, at han ønsker i henhold til forretningsordenens § 19, stk. 4, at give Folketinget en skriftlig Redegørelse om Erhvervsfremme og -Støtte.",The Minister for Business (Brian Mikkelsen) has informed me that he wishes to do so in accordance with Article 19 (3) of the Rules of Procedure. 4 to provide Parliament with a written statement on Business Promotion and Support.,"The Minister of Economic Affairs (Brian Mikkelsen) has informed me that he wishes under Section 19 of the Rules of Procedure. 4, to give the Folketing a written statement on business promotion and support.",The Minister of Industry (Brian Mikkelsen) has informed me that he wishes under Section 19 of the Rules of Procedure. 4. to give the Folketing a written statement on promotion and support.
2,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,16).,16).,16).,16).
3,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Eksemplarer vil blive omdelt og redegørelsen vil fremgå af www.folketingstidende.dk.,Copies will be distributed and the statement will appear in www.folktingstidende.dk.,Examples will be distributed and the statement will be made by www.folketingstidende.dk.,Examples will be distributed and the statement will be presented by www.folk etchingstidende.dk.
4,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Det første spørgsmål er til justitsministeren af hr. Lars Aslan Rasmussen.,The first question is to the Minister for Justice by Mr. Lars Aslan Rasmussen.,The first question is to the Minister of Justice. Lars Aslan Rasmussen.,The first question is for the Minister of Justice of Mr. Lars Aslan Rasmussen.
5,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Er vedkommende klar til oplæsning?,Is he ready for reading?,Is he ready for reading?,Is he ready for reading?
6,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Ja, værsgo.","Yeah, go ahead.","Yes, please.","Yeah, go ahead."
7,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Tak.,Thank you.,Thank you.,Thank you.
8,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Hvad agter ministeren at gøre fremadrettet i forhold til, at der endnu engang bliver opfordret til drab på jøder fra en moské i Danmark?",What does the Minister intend to do in the future in relation to another call for the killing of Jews from a mosque in Denmark?,What does the Minister intend to do forward in relation to once again calling for the killing of Jews from a Mosque in Denmark?,What does the Minister intend to do in the future in view of once again being called upon to kill Jews from a mosque in Denmark?
9,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Ministeren.,The minister.,Minister.,Minister.
10,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Tak for spørgsmålet, som jeg bestemt synes er meget, meget relevant at drøfte i disse tider.","Thank you for the question, which I certainly think is very, very relevant to discuss at these times.","Thank you for the question, which I certainly think is very, very relevant to debate at these times.","Thank you for the question, which I certainly think is very, very relevant to discuss at these times."
11,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Jeg tror, vi alle sammen kan blive enige om, at de middelalderlige udtalelser, som er gengivet fra prædikenen, er afskyvækkende.",I think we can all agree that the medieval statements made from the sermon are disgusting.,I think we can all agree that the medieval statements made by the sermon are repulsive.,I believe that we can all agree that the medieval statements made from the sermon are abominable.
12,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Den slags udtalelser er udtryk for et had, som vi aldrig skal acceptere slår rod her i Danmark.","Such statements are an expression of hatred, which we should never accept takes root here in Denmark.",This kind of statement is the expression of a hatred that we should never accept in Denmark.,Such statements are an expression of hatred that we should never accept here in Denmark.
13,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,De har ikke nogen plads i det danske samfund.,They have no place in Danish society.,They have no place in the Danish community.,They have no place in Danish society.
14,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Det har det jødiske samfund derimod.,"On the other hand, Jewish society has.","On the other hand, it has Jewish society.","On the other hand, Jewish society does."
15,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"De har været en del af Danmark i flere hundrede år, og vi er i løbende dialog med det jødiske samfund.","They have been part of Denmark for several hundred years, and we are in continuous dialogue with the Jewish community.","They have been part of Denmark for hundreds of years, and we are in ongoing dialogue with the Jewish community.","They have been part of Denmark for hundreds of years, and we are in constant dialogue with the Jewish community."
16,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Så sent som den 17. marts i år besøgte jeg det jødiske samfund her i København, da jeg besøgte synagogen i Krystalgade, hvor vi havde en god drøftelse af bl.a. deres sikkerhed, både der, men også mere generelt.","As recently as 17 March this year I visited the Jewish community here in Copenhagen when I visited the synagogue in Krystalgade, where we had a good discussion of among others. their safety, both there but also more generally.","As late as 17 March this year, I visited the Jewish community here in Copenhagen when I visited the synagogue in Krystalgade, where we had a good discussion of, among other things. their safety, both there, but also more generally.","As late as March 17 this year, I visited the Jewish community here in Copenhagen when I visited the synagogue in Krystalgade, where we had a good discussion of, among other things. their safety, both there, but also more generally."
17,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Regeringen skærpede også sidste år lovgivningen med den såkaldte imamlov, som strammer grebet om dem, der som led i religiøs oplæring undergraver vores love og værdier ved at billige strafbare handlinger som f.eks. drab.","Last year, the government also tightened legislation with the so-called Imam Law, which tightens the grip on those who, as part of religious training, undermine our laws and values by cheaping criminal offences such as the one we are talking about. Homicide.","The government also tightened up legislation with the so-called Imam law, which tightens the grip on those who, as part of religious training, undermine our laws and values by cheap criminal offences, such as these. Kill.","The government also tightened up last year's legislation with the so-called imam law, which tightens the grip on those who, as part of religious training, undermine our laws and values by cheap criminal acts such as. kill."
18,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Myndighederne ser med meget, meget stor alvor på disse sager.","The authorities are very, very serious about these cases.","The authorities are very, very serious about these matters.","The authorities are very, very serious about these matters."
19,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Nu er der så en efterforskning i gang af den konkrete sag, som lige har været fremme, og hvis der er grundlag for at rejse en straffesag, vil det naturligvis ske.","Now there is an investigation into the specific case which has just been brought forward and, of course, if there are grounds for bringing criminal proceedings, that will happen.","Now there is now an investigation into the specific case that has just been promoted, and if there is a basis for bringing a criminal case, it will of course happen.","Now there is an investigation of the specific case which has just been brought forward and, of course, if there is a basis for criminal proceedings, this will happen."
20,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Spørgeren.,The questioner.,The questioner.,The questioner.
21,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Tak for besvarelsen.,Thank you for your answer.,Thank you for your reply.,Thank you for your answer.
22,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Nu har det jødiske samfund jo oplevet rigtig mange ting på det sidste, og set i lyset af, hvor få danske jøder der er, så er det jo ganske alvorligt.","Now the Jewish community has experienced a great many things lately, and in light of how few Danish Jews there are, it is quite serious.","Now the Jewish community has experienced a lot of things lately, and in view of how few Danish Jews are, it is quite serious.","After all, the Jewish community has experienced a lot of things lately, and in view of how few Danish Jews there are, it is quite serious."
23,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Altså, vi har set angreb på den jødiske skole og hærværk mod den jødiske slagter, en proisraelsk demonstration måtte evakueres fra Christiansborg, og vi har haft en underskriftindsamling mod navngivne jødiske journalister.","So, we have seen attacks on the Jewish school and vandalism against the Jewish butcher, a pro-Israeli demonstration had to be evacuated from Christiansborg, and we have had a petition against named Jewish journalists.","So, we have seen attacks on the Jewish school and vandalism against the Jewish butcher, a pro-Israelian demonstration had to be evacuated from Christiansborg, and we have had a collection of signatures against named Jewish journalists.","In other words, we have seen attacks on the Jewish school and war against the Jewish butcher, a pro-Israeli demonstration had to be evacuated from Christiansborg, and we have had a signing collection against nominal Jewish journalists."
24,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Og vi har haft overfald på danske jøder og også et drab på en ung jødisk mand.,And we have had attacks on Danish Jews and also a killing of a young Jewish man.,And we've had attacks on Danish Jews and also a killing on a young Jewish man.,And we have had assaults on Danish Jews and also a murder on a young Jewish man.
25,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Er ministeren enig i, at vi står med en særlig udfordring, som jo ikke alene kan løses med en imamlov?",Does the Minister agree that we are faced with a particular challenge which cannot be solved by an imam law alone?,"Does the Minister agree that we are faced with a particular challenge, which cannot only be solved with an imam law?","Does the Minister agree that we face a special challenge, which cannot be solved by an imam law alone?"
26,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"For den her gang var det godt nok en udenlandsk imam, der opfordrede til drab på jøder, men for ikke så lang tid siden havde vi jo en dansk imam i Grimhøjmoskeen, der sagde stort set det samme.","For this time it was a foreign imam who called for the killing of Jews, but not so long ago we had a Danish imam in the Grimhøjmosque who said much the same thing.","For this time it was well enough a foreign imam calling for the killing of Jews, but not so long ago we had a Danish imam in the Grimhöjmoske, who said quite the same thing.","For this time it was a foreign imam who called for the killing of Jews, but not long ago we had a Danish imam in the Grimhøj Mosque, who said much the same thing."
27,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Ministeren.,The minister.,Minister.,Minister.
28,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,Tak.,Thank you.,Thank you.,Thank you.
29,/home/tajak/Parlamint-translation/Source-data/ParlaMint-DK.conllu/ParlaMint-DK.conllu/2017/ParlaMint-DK_2017-05-17-20161-M98.conllu,"Jeg er enig i, at vi har en særlig udfordring her.",I agree that we have a particular challenge here.,I agree that we have a particular challenge here.,I agree that we have a special challenge here.
